rule_id,rule_key,zone_code,municipality,rule_object,applies_to,operator,value,unit,condition,exception,description,bylaw_ref,source_page,source_url
burnaby_r1_039,lot_coverage,R1,Burnaby,lot_coverage,Small-Scale Multi-Unit 3 to 4 Units,<=,40.0,%,,,Maximum lot_coverage (Small-Scale Multi-Unit 3 to 4 Units),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_040,lot_coverage,R1,Burnaby,lot_coverage,Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only,<=,45.0,%,,,Maximum lot_coverage (Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_041,impervious_surface,R1,Burnaby,impervious_surface,Rowhouse 1 to 3 Units,<=,70.0,%,,,Maximum impervious_surface (Rowhouse 1 to 3 Units),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_042,impervious_surface,R1,Burnaby,impervious_surface,Small-Scale Multi-Unit 1 to 2 Units,<=,60.0,%,,,Maximum impervious_surface (Small-Scale Multi-Unit 1 to 2 Units),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_043,impervious_surface,R1,Burnaby,impervious_surface,Small-Scale Multi-Unit 3 to 4 Units,<=,60.0,%,,,Maximum impervious_surface (Small-Scale Multi-Unit 3 to 4 Units),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_044,impervious_surface,R1,Burnaby,impervious_surface,Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only,<=,70.0,%,,,Maximum impervious_surface (Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_045,height,R1,Burnaby,height,Rowhouse 1 to 3 Units,<=,10.0,m,sloping roof,,Maximum height (Rowhouse 1 to 3 Units),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_046,height,R1,Burnaby,height,Rowhouse 1 to 3 Units,<=,9.5,m,flat roof,,Maximum height (Rowhouse 1 to 3 Units),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_047,height,R1,Burnaby,height,Small-Scale Multi-Unit 1 to 2 Units,<=,10.0,m,sloping roof,,Maximum height (Small-Scale Multi-Unit 1 to 2 Units),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_048,height,R1,Burnaby,height,Small-Scale Multi-Unit 1 to 2 Units,<=,9.5,m,flat roof,,Maximum height (Small-Scale Multi-Unit 1 to 2 Units),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_049,height,R1,Burnaby,height,Small-Scale Multi-Unit 3 to 4 Units,<=,10.0,m,sloping roof,,Maximum height (Small-Scale Multi-Unit 3 to 4 Units),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_050,height,R1,Burnaby,height,Small-Scale Multi-Unit 3 to 4 Units,<=,9.5,m,flat roof,,Maximum height (Small-Scale Multi-Unit 3 to 4 Units),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_051,height,R1,Burnaby,height,Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only,<=,10.0,m,sloping roof,,Maximum height (Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_052,height,R1,Burnaby,height,Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only,<=,9.5,m,flat roof,,Maximum height (Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_053,storeys,R1,Burnaby,storeys,Rowhouse 1 to 3 Units,<=,3.0,storeys,,,Maximum storeys (Rowhouse 1 to 3 Units),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_054,storeys,R1,Burnaby,storeys,Small-Scale Multi-Unit 1 to 2 Units,<=,2.5,storeys,,,Maximum storeys (Small-Scale Multi-Unit 1 to 2 Units),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_055,storeys,R1,Burnaby,storeys,Small-Scale Multi-Unit 3 to 4 Units,<=,3.0,storeys,,,Maximum storeys (Small-Scale Multi-Unit 3 to 4 Units),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_056,storeys,R1,Burnaby,storeys,Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only,<=,3.0,storeys,,,Maximum storeys (Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_057,height,R1,Burnaby,height,Rowhouse 1 to 3 Units,<=,7.5,m,sloping roof,,Maximum height (Rowhouse 1 to 3 Units),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_058,height,R1,Burnaby,height,Rowhouse 1 to 3 Units,<=,7.0,m,flat roof,,Maximum height (Rowhouse 1 to 3 Units),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_059,height,R1,Burnaby,height,Small-Scale Multi-Unit 1 to 2 Units,<=,7.5,m,sloping roof,,Maximum height (Small-Scale Multi-Unit 1 to 2 Units),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_060,height,R1,Burnaby,height,Small-Scale Multi-Unit 1 to 2 Units,<=,7.0,m,flat roof,,Maximum height (Small-Scale Multi-Unit 1 to 2 Units),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_061,height,R1,Burnaby,height,Small-Scale Multi-Unit 3 to 4 Units,<=,7.5,m,sloping roof,,Maximum height (Small-Scale Multi-Unit 3 to 4 Units),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_062,height,R1,Burnaby,height,Small-Scale Multi-Unit 3 to 4 Units,<=,7.0,m,flat roof,,Maximum height (Small-Scale Multi-Unit 3 to 4 Units),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_063,height,R1,Burnaby,height,Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only,<=,7.5,m,sloping roof,,Maximum height (Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_064,height,R1,Burnaby,height,Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only,<=,7.0,m,flat roof,,Maximum height (Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_065,storeys,R1,Burnaby,storeys,Rowhouse 1 to 3 Units,<=,2.0,storeys,,,Maximum storeys (Rowhouse 1 to 3 Units),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_066,storeys,R1,Burnaby,storeys,Small-Scale Multi-Unit 1 to 2 Units,<=,2.0,storeys,,,Maximum storeys (Small-Scale Multi-Unit 1 to 2 Units),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_067,storeys,R1,Burnaby,storeys,Small-Scale Multi-Unit 3 to 4 Units,<=,2.0,storeys,,,Maximum storeys (Small-Scale Multi-Unit 3 to 4 Units),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_068,storeys,R1,Burnaby,storeys,Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only,<=,2.0,storeys,,,Maximum storeys (Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_069,height,R1,Burnaby,height,Accessory Buildings,<=,4.0,m,,,Maximum height (Accessory Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_070,storeys,R1,Burnaby,storeys,Accessory Buildings,<=,1.0,storeys,,,Maximum storeys (Accessory Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_071,height,R1,Burnaby,height,Accessory Buildings,<=,4.0,m,,,Maximum height (Accessory Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_072,storeys,R1,Burnaby,storeys,Accessory Buildings,<=,1.0,storeys,,,Maximum storeys (Accessory Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_073,height,R1,Burnaby,height,Accessory Buildings,<=,4.0,m,,,Maximum height (Accessory Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_074,storeys,R1,Burnaby,storeys,Accessory Buildings,<=,1.0,storeys,,,Maximum storeys (Accessory Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_075,height,R1,Burnaby,height,Accessory Buildings,<=,4.0,m,,,Maximum height (Accessory Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_076,storeys,R1,Burnaby,storeys,Accessory Buildings,<=,1.0,storeys,,,Maximum storeys (Accessory Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_077,setback,R1,Burnaby,setback,All Buildings,>=,3.0,m,,,Minimum setback (All Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_078,setback,R1,Burnaby,setback,All Buildings,>=,4.0,m,front,,Minimum setback (All Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_079,setback,R1,Burnaby,setback,All Buildings,>=,3.0,m,flanking,,Minimum setback (All Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_080,setback,R1,Burnaby,setback,All Buildings,>=,4.0,m,front,,Minimum setback (All Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_081,setback,R1,Burnaby,setback,All Buildings,>=,3.0,m,flanking,,Minimum setback (All Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_082,setback,R1,Burnaby,setback,All Buildings,>=,4.0,m,front,,Minimum setback (All Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_083,setback,R1,Burnaby,setback,All Buildings,>=,3.0,m,flanking,,Minimum setback (All Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_084,setback,R1,Burnaby,setback,All Buildings,>=,1.5,m,,,Minimum setback (All Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_085,setback,R1,Burnaby,setback,All Buildings,>=,1.5,m,,,Minimum setback (All Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_086,setback,R1,Burnaby,setback,All Buildings,>=,1.5,m,,,Minimum setback (All Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_087,setback,R1,Burnaby,setback,All Buildings,>=,1.5,m,,,Minimum setback (All Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_089,setback,R1,Burnaby,setback,All Buildings,>=,3.0,m,,,Minimum setback (All Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_090,setback,R1,Burnaby,setback,All Buildings,>=,3.0,m,,,Minimum setback (All Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_091,setback,R1,Burnaby,setback,All Buildings,>=,3.0,m,,,Minimum setback (All Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_093,setback,R1,Burnaby,setback,All Buildings,>=,1.2,m,,,Minimum setback (All Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_094,setback,R1,Burnaby,setback,All Buildings,>=,1.2,m,,,Minimum setback (All Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_095,setback,R1,Burnaby,setback,All Buildings,>=,1.2,m,,,Minimum setback (All Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_096,building_separation,R1,Burnaby,building_separation,Small-Scale Multi-Unit 1 to 2 Units,>=,2.4,m,,,Minimum building_separation (Small-Scale Multi-Unit 1 to 2 Units),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_097,building_separation,R1,Burnaby,building_separation,Small-Scale Multi-Unit 3 to 4 Units,>=,2.4,m,,,Minimum building_separation (Small-Scale Multi-Unit 3 to 4 Units),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_098,building_separation,R1,Burnaby,building_separation,Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only,>=,2.4,m,,,Minimum building_separation (Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_099,building_separation,R1,Burnaby,building_separation,Rear Principal Buildings,>=,2.4,m,,,Minimum building_separation (Rear Principal Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_100,building_separation,R1,Burnaby,building_separation,Rear Principal Buildings,>=,2.4,m,,,Minimum building_separation (Rear Principal Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_101,building_separation,R1,Burnaby,building_separation,Rear Principal Buildings,>=,2.4,m,,,Minimum building_separation (Rear Principal Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_102,building_separation,R1,Burnaby,building_separation,Front and Rear Principal Buildings,>=,6.0,m,,,Minimum building_separation (Front and Rear Principal Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_103,building_separation,R1,Burnaby,building_separation,Front and Rear Principal Buildings,>=,6.0,m,,,Minimum building_separation (Front and Rear Principal Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_104,building_separation,R1,Burnaby,building_separation,Front and Rear Principal Buildings,>=,6.0,m,,,Minimum building_separation (Front and Rear Principal Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_105,building_separation,R1,Burnaby,building_separation,Front and Rear Principal Buildings,>=,6.0,m,,,Minimum building_separation (Front and Rear Principal Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_106,building_separation,R1,Burnaby,building_separation,All Other Buildings,>=,2.4,m,,,Minimum building_separation (All Other Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_107,building_separation,R1,Burnaby,building_separation,All Other Buildings,>=,2.4,m,,,Minimum building_separation (All Other Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_108,building_separation,R1,Burnaby,building_separation,All Other Buildings,>=,2.4,m,,,Minimum building_separation (All Other Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_109,building_separation,R1,Burnaby,building_separation,All Other Buildings,>=,2.4,m,,,Minimum building_separation (All Other Buildings),R1Small-Scale-Multi-Unit-Housing-District.pdf,2,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
burnaby_r1_110,automatic_sprinkler,R1,Burnaby,automatic_sprinkler,Dwelling units more than 45 m from a street lot line,>,45.0,m,distance from lot line abutting a street,,Required automatic_sprinkler (Dwelling units more than 45 m from a street lot line),R1Small-Scale-Multi-Unit-Housing-District.pdf,6,https://www.burnaby.ca/sites/default/files/acquiadam/2024-07/R1Small-Scale-Multi-Unit-Housing-District.pdf
