source_id,rule_key,rule_object,constraint_type,subject,operator,value,unit,condition,exception,evidence_text,warnings,source_stream,batch_id,rule_id
page_0195__table_001,parking_60_stall_width_other,motor_vehicle_parking_stall,minimum_dimension,stall width parallel to aisle,>=,3.00,m,Parking angle: 60 degrees; Other Uses,,Table 2: Minimum Dimensions for Motor Vehicle Parking Stalls | Parking angle (degrees): 60 | Stall width parallel to aisle (metres) | Other Uses: 3.00,[],gemini_table_image,page_0195__table_001,pipeline10_rule_0012
page_0195__table_001,parking_45_aisle_width,motor_vehicle_parking_stall,minimum_dimension,aisle width,>=,4.00,m,Parking angle: 45 degrees,,Table 2: Minimum Dimensions for Motor Vehicle Parking Stalls | Parking angle (degrees): 45 | Aisle width (metres): 4.00,[],gemini_table_image,page_0195__table_001,pipeline10_rule_0013
page_0195__table_001,parking_45_stall_depth,motor_vehicle_parking_stall,minimum_dimension,stall depth perpendicular to aisle,>=,5.00,m,Parking angle: 45 degrees,,Table 2: Minimum Dimensions for Motor Vehicle Parking Stalls | Parking angle (degrees): 45 | Stall depth perpendicular to aisle (metres): 5.00,[],gemini_table_image,page_0195__table_001,pipeline10_rule_0014
page_0195__table_001,parking_45_stall_width_dwelling,motor_vehicle_parking_stall,minimum_dimension,stall width parallel to aisle,>=,3.54,m,Parking angle: 45 degrees; Dwelling Units,,Table 2: Minimum Dimensions for Motor Vehicle Parking Stalls | Parking angle (degrees): 45 | Stall width parallel to aisle (metres) | Dwelling Units: 3.54,[],gemini_table_image,page_0195__table_001,pipeline10_rule_0015
page_0195__table_001,parking_45_stall_width_other,motor_vehicle_parking_stall,minimum_dimension,stall width parallel to aisle,>=,3.68,m,Parking angle: 45 degrees; Other Uses,,Table 2: Minimum Dimensions for Motor Vehicle Parking Stalls | Parking angle (degrees): 45 | Stall width parallel to aisle (metres) | Other Uses: 3.68,[],gemini_table_image,page_0195__table_001,pipeline10_rule_0016
calgary_generic_graph_pack_050__page_0340__local_004,dwelling_unit_stacking_prohibited,dwelling_unit_stacking,prohibition,dwelling_unit,prohibited,,,located wholly or partially above another Dwelling Unit,,where no Dwelling Unit is located wholly or partially above another Dwelling Unit,[],gemini_text_batch,text_batch_0003,pipeline10_rule_0017
calgary_generic_graph_pack_050__page_0340__local_004,secondary_suite_permitted_within_dwelling_unit,permitted_use,permission,secondary_suite,permitted,,,within a Dwelling Unit in a district where a Secondary Suite is a listed use and conforms with the rules of the district,,may contain a Secondary Suite within a Dwelling Unit in a district where a Secondary Suite is a listed use and conforms with the rules of the district;,[],gemini_text_batch,text_batch_0003,pipeline10_rule_0018
calgary_generic_graph_pack_061__page_0384__local_004,skateboard_ramp_attachment_prohibited_backyard_suite,skateboard_and_sports_ramp_attachment,prohibition,Backyard Suite,prohibited,,,A skateboard and sports ramp,,"A skateboard and sports ramp must not be attached to a deck, another structure, fence, or building such as, but not limited to, a main residential building, Backyard Suite or Accessory Residential Building.",[],gemini_text_batch,text_batch_0004,pipeline10_rule_0019
calgary_generic_graph_pack_061__page_0384__local_004,skateboard_ramp_attachment_prohibited_accessory_residential_building,skateboard_and_sports_ramp_attachment,prohibition,Accessory Residential Building,prohibited,,,A skateboard and sports ramp,,"A skateboard and sports ramp must not be attached to a deck, another structure, fence, or building such as, but not limited to, a main residential building, Backyard Suite or Accessory Residential Building.",[],gemini_text_batch,text_batch_0004,pipeline10_rule_0020
calgary_generic_graph_pack_063__page_0386__local_004,accessory_residential_building_dwelling_unit_use_prohibition,Accessory Residential Building use,prohibition,Accessory Residential Building,prohibited,,,used as a Dwelling Unit,unless a Backyard Suite has been approved,"An Accessory Residential Building must not be used as a Dwelling Unit, unless a Backyard Suite has been approved.",[],gemini_text_batch,text_batch_0005,pipeline10_rule_0021
calgary_generic_graph_pack_064__page_0386__local_002,accessory_residential_building_front_setback_prohibition,Accessory Residential Building location,prohibition,Accessory Residential Building,prohibited,,,in the actual front setback area,,An Accessory Residential Building must not be located in the actual front setback area.,[],gemini_text_batch,text_batch_0005,pipeline10_rule_0022
calgary_generic_graph_pack_064__page_0386__local_002,private_garage_laneless_parcel_side_setback_permission,private garage location,permission,private garage,permitted,,,"on a laneless parcel, within the required 3.0 metre side setback area",except along the street side of a corner parcel,"A private garage on a laneless parcel may be located within the required 3.0 metre side setback area, except along the street side of a corner parcel.",[],gemini_text_batch,text_batch_0005,pipeline10_rule_0023
calgary_generic_graph_pack_064__page_0386__local_002,accessory_residential_building_main_residential_building_separation_distance,separation distance,minimum,distance between Accessory Residential Building and main residential building,>=,1.0,m,Accessory Residential Building 10.0 square metres or more,,The minimum distance between any façade of an Accessory Residential Building 10.0 square metres or more and a main residential building is 1.0 metres.,[],gemini_text_batch,text_batch_0005,pipeline10_rule_0024
calgary_generic_graph_pack_064__page_0386__local_003,accessory_residential_building_height_max_finished_floor,Accessory Residential Building height,maximum,Accessory Residential Building,<=,4.6,m,measured from the finished floor of the building,,"The height of an Accessory Residential Building must not exceed: (a) 4.6 metres, measured from the finished floor of the building;",[],gemini_text_batch,text_batch_0005,pipeline10_rule_0025
calgary_generic_graph_pack_064__page_0386__local_003,accessory_residential_building_eaveline_height_max_finished_floor,Accessory Residential Building eaveline height,maximum,Accessory Residential Building eaveline,<=,3.0,m,measured from the finished floor of the building,,"The height of an Accessory Residential Building must not exceed: (b) 3.0 metres at any eaveline, when measured from the finished floor of the building;",[],gemini_text_batch,text_batch_0005,pipeline10_rule_0026
calgary_generic_graph_pack_064__page_0386__local_003,accessory_residential_building_height_max_storeys,Accessory Residential Building height,maximum,Accessory Residential Building,<=,1,storeys,which may include an attic space,,The height of an Accessory Residential Building must not exceed: (c) one storey,[],gemini_text_batch,text_batch_0005,pipeline10_rule_0027
calgary_generic_graph_pack_064__page_0386__local_003,accessory_residential_building_attic_access_ladder_required,attic space access,required,attic space,required,,,within an Accessory Residential Building one storey in height,,is accessed by a removable ladder,[],gemini_text_batch,text_batch_0005,pipeline10_rule_0028
calgary_generic_graph_pack_064__page_0386__local_003,accessory_residential_building_attic_windows_prohibited,attic space windows,prohibition,attic space,prohibited,,,within an Accessory Residential Building one storey in height,,does not have windows,[],gemini_text_batch,text_batch_0005,pipeline10_rule_0029
calgary_generic_graph_pack_064__page_0386__local_003,accessory_residential_building_attic_use_storage_required,attic space use,required,attic space,required,,,"within an Accessory Residential Building one storey in height, used by the occupants of the main residential building for placement of personal items",,is used by the occupants of the main residential building for placement of personal items,[],gemini_text_batch,text_batch_0005,pipeline10_rule_0030
calgary_generic_graph_pack_064__page_0386__local_003,accessory_residential_building_attic_height_max,attic space height,maximum,attic space,<=,1.5,m,"within an Accessory Residential Building one storey in height, measured from the attic floor to the underside of any rafter",,has a maximum height of 1.5 metres when measured from the attic floor to the underside of any rafter.,[],gemini_text_batch,text_batch_0005,pipeline10_rule_0031
calgary_generic_graph_pack_079__page_0397__local_003,backyard_suite_balcony_setback,balcony_projection,dimensional,balcony attached to a Backyard Suite,>=,0.6,m,from a property line shared with a street or a lane,,A balcony attached to a Backyard Suite may project into a required setback area from a property line shared with a street or a lane to a minimum setback of 0.6 metres from the property line.,[],gemini_text_batch,text_batch_0007,pipeline10_rule_0032
calgary_generic_graph_pack_083__page_0398__local_004,dwellings_deemed_conforming_existing_features,conformance,general,"Decks greater than 1.5 metres in height, landings, retaining walls and window wells",permitted,,,for Dwellings; legally existing or approved prior to the effective date of this Bylaw,,"Decks greater than 1.5 metres in height, landings, retaining walls and window wells that are legally existing or approved prior to the effective date of this Bylaw are deemed to conform with the requirements of this Bylaw.",[],gemini_text_batch,text_batch_0007,pipeline10_rule_0033
calgary_generic_graph_pack_109__page_0420__local_004,main_residential_building_number_max_1_on_parcel,main_residential_building,density,number,<=,1,units,on a parcel,,The maximum number of main residential buildings on a parcel is one.,[],gemini_text_batch,text_batch_0008,pipeline10_rule_0034
calgary_generic_graph_pack_116__page_0429__local_005,parcel_width_min_9.0m_backyard_secondary_suite,parcel_width,dimensional,parcel_width,>=,9.0,m,for a parcel containing a Backyard Suite or Secondary Suite in a Contextual Single Detached Dwelling or Single Detached Dwelling,unless otherwise referenced in subsection (a.2),"9.0 metres for a parcel containing a Backyard Suite or Secondary Suite in a Contextual Single Detached Dwelling or Single Detached Dwelling, unless otherwise referenced in subsection (a.2);",[],gemini_text_batch,text_batch_0008,pipeline10_rule_0035
calgary_generic_graph_pack_116__page_0429__local_005,parcel_width_min_7.5m_backyard_secondary_suite_3_parking_stalls,parcel_width,dimensional,parcel_width,>=,7.5,m,for a parcel containing a Backyard Suite or Secondary Suite in a Contextual Single Detached Dwelling or Single Detached Dwelling where 3.0 or more motor vehicle parking stalls are provided on the parcel,,7.5 metres for a parcel containing a Backyard Suite or Secondary Suite in a Contextual Single Detached Dwelling or Single Detached Dwelling where:,['Rule condition relies on text from a subsequent source_id (calgary_generic_graph_pack_116__page_0429__local_006) not fully contained in the evidence_text for this source_id.'],gemini_text_batch,text_batch_0008,pipeline10_rule_0036
calgary_generic_graph_pack_117__page_0433__local_002,motor_vehicle_parking_stalls_min_part4_reference,motor_vehicle_parking_stall,parking,number,required,,,"Unless otherwise referenced in subsection (2) and (3), the minimum number of motor vehicle parking stalls is the requirement referenced in Part 4.",otherwise referenced in subsection (2) and (3),"Unless otherwise referenced in subsection (2) and (3), the minimum number of motor vehicle parking stalls is the requirement referenced in Part 4.",[],gemini_text_batch,text_batch_0008,pipeline10_rule_0037
calgary_generic_graph_pack_117__page_0433__local_002,motor_vehicle_parking_stalls_min_2.0_per_dwelling_unit_parcel_width_lt_9m,motor_vehicle_parking_stall,parking,number,>=,2.0,stalls,"for each Contextual Single Detached Dwelling and Single Detached Dwelling, per Dwelling Unit, where the parcel width is less than 9.0 metres and the parcel is part of a plan of subdivision approved after September 7, 1982",,"The minimum number of motor vehicle parking stalls for each Contextual Single Detached Dwelling and Single Detached Dwelling is 2.0 stalls per Dwelling Unit where: (a) the parcel width is less than 9.0 metres and the parcel is part of a plan of subdivision approved after September 7, 1982;",[],gemini_text_batch,text_batch_0008,pipeline10_rule_0038
calgary_generic_graph_pack_117__page_0433__local_002,motor_vehicle_parking_stalls_min_2.0_per_dwelling_unit_parcel_area_lt_270m2,motor_vehicle_parking_stall,parking,number,>=,2.0,stalls,"for each Contextual Single Detached Dwelling and Single Detached Dwelling, per Dwelling Unit, where the area of the parcel is less than 270.0 square metres and the parcel is part of a plan of subdivision approved after",,The minimum number of motor vehicle parking stalls for each Contextual Single Detached Dwelling and Single Detached Dwelling is 2.0 stalls per Dwelling Unit where: (b) the area of the parcel is less than 270.0 square metres and the parcel is part of a plan of subdivision approved after,[],gemini_text_batch,text_batch_0008,pipeline10_rule_0039
calgary_generic_graph_pack_117__page_0433__local_003,motor_vehicle_parking_stalls_secondary_suite_0.0_if_2.0_per_dwelling_unit,motor_vehicle_parking_stall,parking,number,reduced to,0.0,stalls,"for a Secondary Suite contained in a Contextual Semi-detached Dwelling or Semi-detached Dwelling, where 2.0 motor vehicle parking stalls are provided for each Dwelling Unit",,"The minimum number of motor vehicle parking stalls for a Secondary Suite contained in a Contextual Semi-detached Dwelling or Semi-detached Dwelling is reduced to 0.0 stalls, where 2.0 motor vehicle parking stalls are provided for each Dwelling Unit.",[],gemini_text_batch,text_batch_0008,pipeline10_rule_0040
calgary_generic_graph_pack_131__page_0442__local_005,parcel_width_min_9.0m_backyard_secondary_suite,parcel_width,dimensional_standard,parcel containing a Backyard Suite or Secondary Suite,>=,9.0,m,unless otherwise referenced in subsection (c),,"(b) 9.0 metres for a parcel containing a Backyard Suite or Secondary Suite, unless otherwise referenced in subsection (c);",[],gemini_text_batch,text_batch_0009,pipeline10_rule_0041
calgary_generic_graph_pack_131__page_0442__local_005,parcel_width_min_7.5m_backyard_secondary_suite_where,parcel_width,dimensional_standard,parcel containing a Backyard Suite or Secondary Suite,>=,7.5,m,where,,(c) 7.5 metres for a parcel containing a Backyard Suite or Secondary Suite where:,[],gemini_text_batch,text_batch_0009,pipeline10_rule_0042
calgary_generic_graph_pack_131__page_0442__local_006,parcel_width_max_11.6m_general,parcel_width,dimensional_standard,parcel,<=,11.6,m,"unless the parcel is: (a) a corner parcel; (b) a parcel on the bulb of a cul-de-sac; or (c) a parcel with a front property line shared with a street at a point where the street has a significant change in direction. (Inherited applicability: for parcels that may contain a Backyard Suite or Secondary Suite, as per section 464)",corner parcel; parcel on the bulb of a cul-de-sac; parcel with a front property line shared with a street at a point where the street has a significant change in direction,(2) The maximum parcel width is 11.6 metres unless the parcel is: (a) a corner parcel; (b) a parcel on the bulb of a cul-de-sac; or (c) a parcel with a front property line shared with a street at a point where the street has a significant change in direction.,[],gemini_text_batch,text_batch_0009,pipeline10_rule_0043
calgary_generic_graph_pack_136__page_0448__local_005,parcel_width_min_9.0m_backyard_secondary_suite_single_detached,parcel_width,dimensional_standard,parcel containing a Backyard Suite or Secondary Suite in a Single Detached Dwelling,>=,9.0,m,unless otherwise referenced in subsection (a.2),,"(a.1) 9.0 metres for a parcel containing a Backyard Suite or 76P2019 Secondary Suite in a Single Detached Dwelling, unless otherwise referenced in subsection (a.2);",[],gemini_text_batch,text_batch_0009,pipeline10_rule_0044
calgary_generic_graph_pack_136__page_0448__local_005,parcel_width_min_7.5m_backyard_secondary_suite_single_detached_where,parcel_width,dimensional_standard,parcel containing a Backyard Suite or Secondary Suite in a Single Detached Dwelling,>=,7.5,m,where,,(a.2) 7.5 metres for a parcel containing a Backyard Suite or Secondary Suite in a Single Detached Dwelling where:,[],gemini_text_batch,text_batch_0009,pipeline10_rule_0045
calgary_generic_graph_pack_137__page_0451__local_004,building_height_max_10.0m_single_detached_dwelling,building_height,dimensional_standard,Single Detached Dwelling,<=,10.0,m,Unless otherwise referenced in subsection (2). (Inherited applicability: for buildings that may contain or be associated with a Backyard Suite or Secondary Suite),,"(1) Unless otherwise referenced in subsection (2), the maximum building height is 10.0 metres for a Single Detached Dwelling.",[],gemini_text_batch,text_batch_0009,pipeline10_rule_0046
calgary_generic_graph_pack_137__page_0451__local_004,building_height_max_11.0m_single_detached_dwelling_conditions,building_height,dimensional_standard,Single Detached Dwelling,<=,11.0,m,where: (a) the area of the parcel is equal to or greater than 400.0 square metres; and (b) the parcel width is equal to or greater than 10.0 metres. (Inherited applicability: for buildings that may contain or be associated with a Backyard Suite or Secondary Suite),,(2) The maximum building height is 11.0 metres for Single Detached Dwellings where: (a) the area of the parcel is equal to or greater than 400.0 square metres; and (b) the parcel width is equal to or greater than 10.0 metres.,[],gemini_text_batch,text_batch_0009,pipeline10_rule_0047
calgary_generic_graph_pack_138__page_0451__local_005,motor_vehicle_parking_stalls_general,motor_vehicle_parking_stalls,minimum_requirement,motor_vehicle_parking_stalls,required,,,"Unless otherwise referenced in subsection (2) and (3), the requirement is referenced in Part 4.",,"Unless otherwise referenced in subsection (2) and (3), the minimum number of motor vehicle parking stalls is the requirement referenced in Part 4.",[],gemini_text_batch,text_batch_0010,pipeline10_rule_0048
calgary_generic_graph_pack_138__page_0451__local_005,motor_vehicle_parking_stalls_single_detached_dwelling_parcel_width,motor_vehicle_parking_stalls,minimum_quantity,motor_vehicle_parking_stalls_per_dwelling_unit,>=,2.0,units,"for each Single Detached Dwelling where the parcel width is less than 9.0 metres and the parcel is part of a plan of subdivision approved after September 7, 1982",,"The minimum number of motor vehicle parking stalls for each Single Detached Dwelling is 2.0 stalls per Dwelling Unit where: (a) the parcel width is less than 9.0 metres and the parcel is part of a plan of subdivision approved after September 7, 1982",[],gemini_text_batch,text_batch_0010,pipeline10_rule_0049
calgary_generic_graph_pack_138__page_0451__local_005,motor_vehicle_parking_stalls_single_detached_dwelling_parcel_area,motor_vehicle_parking_stalls,minimum_quantity,motor_vehicle_parking_stalls_per_dwelling_unit,>=,2.0,units,"for each Single Detached Dwelling where the area of the parcel is less than 270.0 square metres and the parcel is part of a plan of subdivision approved after September 7, 1982",,"The minimum number of motor vehicle parking stalls for each Single Detached Dwelling is 2.0 stalls per Dwelling Unit where: (b) the area of the parcel is less than 270.0 square metres and the parcel is part of a plan of subdivision approved after September 7, 1982.",[],gemini_text_batch,text_batch_0010,pipeline10_rule_0050
calgary_generic_graph_pack_144__page_0458__local_004,motor_vehicle_parking_stalls_general,motor_vehicle_parking_stalls,minimum_requirement,motor_vehicle_parking_stalls,required,,,"Unless otherwise referenced in subsection (2) and (3), the requirement is referenced in Part 4.",,"Unless otherwise referenced in subsection (2) and (3), the minimum number of motor vehicle parking stalls is the requirement referenced in Part 4.",[],gemini_text_batch,text_batch_0010,pipeline10_rule_0051
calgary_generic_graph_pack_144__page_0458__local_004,motor_vehicle_parking_stalls_single_detached_dwelling_parcel_width,motor_vehicle_parking_stalls,minimum_quantity,motor_vehicle_parking_stalls_per_dwelling_unit,>=,2.0,units,"for each Single Detached Dwelling where the parcel width is less than 9.0 metres and the parcel is part of a plan of subdivision approved after September 7, 1982",,"The minimum number of motor vehicle parking stalls for each Single Detached Dwelling is 2.0 stalls per Dwelling Units where: (a) the parcel width is less than 9.0 metres and the parcel is part of a plan of subdivision approved after September 7, 1982",[],gemini_text_batch,text_batch_0010,pipeline10_rule_0052
calgary_generic_graph_pack_144__page_0458__local_004,motor_vehicle_parking_stalls_single_detached_dwelling_parcel_area,motor_vehicle_parking_stalls,minimum_quantity,motor_vehicle_parking_stalls_per_dwelling_unit,>=,2.0,units,"for each Single Detached Dwelling where the area of the parcel is less than 270.0 square metres and the parcel is part of a plan of subdivision approved after September 7, 1982",,"The minimum number of motor vehicle parking stalls for each Single Detached Dwelling is 2.0 stalls per Dwelling Units where: (b) the area of the parcel is less than 270.0 square metres and the parcel is part of a plan of subdivision approved after September 7, 1982.",[],gemini_text_batch,text_batch_0010,pipeline10_rule_0053
calgary_generic_graph_pack_146__page_0465__local_003,R-CG_district_accommodates_secondary_suites,permitted_use,permission,Secondary Suites,permitted,,,in the Residential – Grade-Oriented Infill (R-CG) District with new and existing residential development,,accommodates Secondary Suites and Backyard Suites with new and existing residential development;,[],gemini_text_batch,text_batch_0010,pipeline10_rule_0054
calgary_generic_graph_pack_146__page_0465__local_003,R-CG_district_accommodates_backyard_suites,permitted_use,permission,Backyard Suites,permitted,,,in the Residential – Grade-Oriented Infill (R-CG) District with new and existing residential development,,accommodates Secondary Suites and Backyard Suites with new and existing residential development;,[],gemini_text_batch,text_batch_0010,pipeline10_rule_0055
calgary_generic_graph_pack_146__page_0465__local_004,R-CGex_district_does_not_accommodate_secondary_suites,permitted_use,prohibition,Secondary Suites,prohibited,,,in the Residential – Grade-Oriented Infill (R-CGex) District,,The Residential – Grade-Oriented Infill (R-CGex) District has the same purpose as the Residential – Grade-Oriented Infill (R-CG) District except that it does not accommodate Secondary Suites or Backyard Suites.,[],gemini_text_batch,text_batch_0010,pipeline10_rule_0056
calgary_generic_graph_pack_146__page_0465__local_004,R-CGex_district_does_not_accommodate_backyard_suites,permitted_use,prohibition,Backyard Suites,prohibited,,,in the Residential – Grade-Oriented Infill (R-CGex) District,,The Residential – Grade-Oriented Infill (R-CGex) District has the same purpose as the Residential – Grade-Oriented Infill (R-CG) District except that it does not accommodate Secondary Suites or Backyard Suites.,[],gemini_text_batch,text_batch_0010,pipeline10_rule_0057
calgary_generic_graph_pack_155__page_0479__local_004,R-LMH_district_accommodates_secondary_suites,permitted_use,permission,Secondary Suites,permitted,,,in the Residential – Low Density Mixed Housing District,,accommodates Secondary Suites and Backyard Suites.,[],gemini_text_batch,text_batch_0010,pipeline10_rule_0058
calgary_generic_graph_pack_155__page_0479__local_004,R-LMH_district_accommodates_backyard_suites,permitted_use,permission,Backyard Suites,permitted,,,in the Residential – Low Density Mixed Housing District,,accommodates Secondary Suites and Backyard Suites.,[],gemini_text_batch,text_batch_0010,pipeline10_rule_0059
calgary_generic_graph_pack_161__page_0483__local_004,building_setback_rear_property_line_carriage_house_lot,building_setback,dimensional,building,>=,1.2,m,from a rear property line shared with a carriage house lot where all the required motor vehicle parking stalls are provided in a private garage,,The minimum building setback from a rear property line shared with a carriage house lot is 1.2 meters where all the required motor vehicle parking stalls are provided in a private garage.,[],gemini_text_batch,text_batch_0011,pipeline10_rule_0060
calgary_generic_graph_pack_162__page_0483__local_003,backyard_suite_setback_party_wall_not_required,building_setback,dimensional,building,>=,0,m,"For a Backyard Suite, Rowhouse Building or Semi-detached Dwelling, from the property line on which a party wall is located that separates two or more Dwelling Units or Backyard Suites",,"For a Backyard Suite, Rowhouse Building or Semi-detached Dwelling there is no requirement for a building setback from the property line on which a party wall is located that separates two or more Dwelling Units or Backyard Suites.",[],gemini_text_batch,text_batch_0011,pipeline10_rule_0061
calgary_generic_graph_pack_164__page_0484__local_002,backyard_suite_maximum_height_laned_parcel,height,dimensional,Backyard Suite,<=,10.0,m,on a laned parcel,,The maximum height of a Backyard Suite on a laned parcel is 10.0 metres.,[],gemini_text_batch,text_batch_0011,pipeline10_rule_0062
calgary_generic_graph_pack_165__page_0484__local_003,private_amenity_space_outdoor_required_general,private_amenity_space,requirement,private amenity space,required,,,"For a Duplex Dwelling, Rowhouse Building, Semi-detached Dwelling or a Single Detached Dwelling, each unit must have direct access to private amenity space that is provided outdoors",Unless otherwise referenced in subsection (2) or (3),"Unless otherwise referenced in subsection (2) or (3), for a Duplex Dwelling, Rowhouse Building, Semi-detached Dwelling or a Single Detached Dwelling, each unit must have direct access to private amenity space that: (a) is provided outdoors;",[],gemini_text_batch,text_batch_0011,pipeline10_rule_0063
calgary_generic_graph_pack_165__page_0484__local_003,private_amenity_space_not_for_vehicle_access_or_parking_general,private_amenity_space_use,prohibition,private amenity space,prohibited,,,"For a Duplex Dwelling, Rowhouse Building, Semi-detached Dwelling or a Single Detached Dwelling, each unit must have direct access to private amenity space that is not used for vehicle access or as a motor vehicle parking stall",Unless otherwise referenced in subsection (2) or (3),(b) is not used for vehicle access or as a motor vehicle parking stall;,[],gemini_text_batch,text_batch_0011,pipeline10_rule_0064
calgary_generic_graph_pack_165__page_0484__local_003,private_amenity_space_not_in_front_setback_general,private_amenity_space_location,prohibition,private amenity space,prohibited,,,"For a Duplex Dwelling, Rowhouse Building, Semi-detached Dwelling or a Single Detached Dwelling, each unit must have direct access to private amenity space that is not located in the building setback area between the front property line and a line parallel to the front property line measured at the closest building setback from the front property line",Unless otherwise referenced in subsection (2) or (3),(c) is not located in the building setback area between the front property line and a line parallel to the front property line measured at the closest building setback from the front property line;,[],gemini_text_batch,text_batch_0011,pipeline10_rule_0065
calgary_generic_graph_pack_165__page_0484__local_004,private_amenity_space_minimum_area_general,private_amenity_space_area,dimensional,private amenity space,>=,22.0,m2,"For a Duplex Dwelling, Rowhouse Building, Semi-detached Dwelling or a Single Detached Dwelling, each unit must have direct access to private amenity space that has a minimum total area of 22.0 square metres",Unless otherwise referenced in subsection (2) or (3),(d) has a minimum total area of 22.0 square metres;,[],gemini_text_batch,text_batch_0011,pipeline10_rule_0066
calgary_generic_graph_pack_165__page_0484__local_004,private_amenity_space_minimum_dimension_general,private_amenity_space_dimension,dimensional,private amenity space,>=,3.0,m,"For a Duplex Dwelling, Rowhouse Building, Semi-detached Dwelling or a Single Detached Dwelling, each unit must have direct access to private amenity space that has no dimension of less than 3.0 metres",Unless otherwise referenced in subsection (2) or (3),(e) has no dimension of less than 3.0 metres.,[],gemini_text_batch,text_batch_0011,pipeline10_rule_0067
