rule_id,rule_key,zone_code,municipality,rule_object,applies_to,operator,value,unit,condition,exception,description,bylaw_ref,source_page,source_url
calgary_rcg_064,setback,RCG,Calgary,setback,private garage attached to a main residential building,>=,0.6,m,on a laned parcel,,Minimum setback (private garage attached to a main residential building),,472,https://www.calgary.ca/content/dam/www/pda/pd/documents/calgary-land-use-bylaw-1p2007/land-use-bylaw-1p2007.pdf
calgary_rcg_067,setback,RCG,Calgary,setback,side property line,>=,3.0,m,,,Minimum setback (side property line),,470,https://www.calgary.ca/content/dam/www/pda/pd/documents/calgary-land-use-bylaw-1p2007/land-use-bylaw-1p2007.pdf
calgary_rcg_069,setback,RCG,Calgary,setback,building,>=,1.2,m,laned or corner parcel,,Minimum setback (building),,472,https://www.calgary.ca/content/dam/www/pda/pd/documents/calgary-land-use-bylaw-1p2007/land-use-bylaw-1p2007.pdf
calgary_rcg_073,setback,RCG,Calgary,setback,side property line shared with a street,>=,0.6,m,corner parcel,,Minimum setback (side property line shared with a street),,471,https://www.calgary.ca/content/dam/www/pda/pd/documents/calgary-land-use-bylaw-1p2007/land-use-bylaw-1p2007.pdf
calgary_rcg_074,setback,RCG,Calgary,setback,rear property line,>=,7.5,m,,,Minimum setback (rear property line),,472,https://www.calgary.ca/content/dam/www/pda/pd/documents/calgary-land-use-bylaw-1p2007/land-use-bylaw-1p2007.pdf
calgary_rcg_079,height,RCG,Calgary,height,Backyard Suite,<=,5.0,m,measured from grade at a side property line shared with a parcel designated with a low density residential district,,Maximum height (Backyard Suite),,396,https://www.calgary.ca/content/dam/www/pda/pd/documents/calgary-land-use-bylaw-1p2007/land-use-bylaw-1p2007.pdf
calgary_rcg_081,setback,RCG,Calgary,setback,"Duplex Dwelling, Semi-detached Dwelling or Single Detached Dwelling",>=,6.0,m,Developed Area and R-C1L or R-C1Ls districts,,"Minimum setback (Duplex Dwelling, Semi-detached Dwelling or Single Detached Dwelling)",,398,https://www.calgary.ca/content/dam/www/pda/pd/documents/calgary-land-use-bylaw-1p2007/land-use-bylaw-1p2007.pdf
calgary_rcg_082,building_separation,RCG,Calgary,building_separation,Backyard Suite,>=,5.0,m,between the closest façade of the main residential building to the closest façade of a Backyard Suite. 10P2019,,Minimum building_separation (Backyard Suite),,396,https://www.calgary.ca/content/dam/www/pda/pd/documents/calgary-land-use-bylaw-1p2007/land-use-bylaw-1p2007.pdf
calgary_rcg_083,floor_area,RCG,Calgary,floor_area,Secondary Suite,<=,100.0,m2,"(a) in the R-C1L, R-C1Ls, R-C1, R-C1s, R-C1N, R-1, R-1s and 24P2018 R-1N Districts; or (b) when located on a parcel with a parcel width less than 13.0 metres",excluding any area covered by stairways and landings,Maximum floor_area (Secondary Suite),,395,https://www.calgary.ca/content/dam/www/pda/pd/documents/calgary-land-use-bylaw-1p2007/land-use-bylaw-1p2007.pdf
calgary_rcg_084,floor_area,RCG,Calgary,floor_area,Backyard Suite,<=,75.0,m2,,excluding any area covered by stairways and internal landings not exceeding 2.5 square metres,Maximum floor_area (Backyard Suite),,396,https://www.calgary.ca/content/dam/www/pda/pd/documents/calgary-land-use-bylaw-1p2007/land-use-bylaw-1p2007.pdf
calgary_rcg_130,height,RCG,Calgary,height,main residential building,<=,8.6,m,not located on a corner parcel,,Maximum height (main residential building),,473,https://www.calgary.ca/content/dam/www/pda/pd/documents/calgary-land-use-bylaw-1p2007/land-use-bylaw-1p2007.pdf
calgary_rcg_138,building_separation,RCG,Calgary,building_separation,between the closest façade of the main residential building to the closest façade of a Backyard Suite,>=,5.0,m,,Unless otherwise referenced in subsections (3.1) and (3.2),Minimum building_separation (between the closest façade of the main residential building to the closest façade of a Backyard Suite),,396,https://www.calgary.ca/content/dam/www/pda/pd/documents/calgary-land-use-bylaw-1p2007/land-use-bylaw-1p2007.pdf
